Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
58,02/12/19-02:29:46,mongo,80.52%,3.465GiB / 7.696GiB,45.03%,13.6GB / 72.3GB
58,02/12/19-02:30:18,mongo,35.85%,3.462GiB / 7.696GiB,44.98%,13.6GB / 72.3GB
58,02/12/19-02:30:50,mongo,40.78%,3.458GiB / 7.696GiB,44.93%,13.6GB / 72.3GB
58,02/12/19-02:31:22,mongo,86.03%,3.453GiB / 7.696GiB,44.87%,13.7GB / 72.3GB
58,02/12/19-02:31:54,mongo,52.88%,3.452GiB / 7.696GiB,44.85%,13.7GB / 72.3GB
58,02/12/19-02:32:26,mongo,51.28%,3.448GiB / 7.696GiB,44.80%,13.7GB / 72.3GB
59,02/12/19-02:32:47,mongo,23.80%,3.444GiB / 7.696GiB,44.75%,13.7GB / 72.3GB
59,02/12/19-02:33:19,mongo,25.27%,3.471GiB / 7.696GiB,45.10%,13.7GB / 72.4GB
59,02/12/19-02:33:51,mongo,69.55%,3.467GiB / 7.696GiB,45.04%,13.7GB / 72.5GB
59,02/12/19-02:34:23,mongo,44.28%,3.461GiB / 7.696GiB,44.97%,13.8GB / 72.5GB
59,02/12/19-02:34:55,mongo,58.73%,3.456GiB / 7.696GiB,44.90%,13.8GB / 72.5GB
59,02/12/19-02:35:28,mongo,34.45%,3.456GiB / 7.696GiB,44.90%,13.9GB / 72.5GB
59,02/12/19-02:36:00,mongo,84.08%,3.451GiB / 7.696GiB,44.84%,13.9GB / 72.5GB
59,02/12/19-02:36:32,mongo,64.11%,3.447GiB / 7.696GiB,44.79%,13.9GB / 72.5GB
59,02/12/19-02:37:04,mongo,60.43%,3.445GiB / 7.696GiB,44.77%,13.9GB / 72.5GB
59,02/12/19-02:37:36,mongo,79.12%,3.442GiB / 7.696GiB,44.72%,14GB / 72.5GB
59,02/12/19-02:38:09,mongo,82.20%,3.438GiB / 7.696GiB,44.67%,14GB / 72.5GB
59,02/12/19-02:38:41,mongo,32.22%,3.436GiB / 7.696GiB,44.64%,14GB / 72.5GB
59,02/12/19-02:39:13,mongo,41.10%,3.432GiB / 7.696GiB,44.59%,14GB / 72.5GB
59,02/12/19-02:39:45,mongo,67.59%,3.432GiB / 7.696GiB,44.59%,14GB / 72.5GB
59,02/12/19-02:40:17,mongo,40.83%,3.429GiB / 7.696GiB,44.56%,14GB / 72.5GB
59,02/12/19-02:40:50,mongo,95.12%,3.428GiB / 7.696GiB,44.54%,14.1GB / 72.5GB
60,02/12/19-02:41:19,mongo,25.45%,3.426GiB / 7.696GiB,44.51%,14.1GB / 72.5GB
60,02/12/19-02:41:51,mongo,23.75%,3.498GiB / 7.696GiB,45.45%,14.1GB / 72.7GB
60,02/12/19-02:42:23,mongo,39.00%,3.496GiB / 7.696GiB,45.43%,14.2GB / 72.7GB
60,02/12/19-02:42:56,mongo,31.32%,3.492GiB / 7.696GiB,45.37%,14.3GB / 72.8GB
60,02/12/19-02:43:28,mongo,50.27%,3.483GiB / 7.696GiB,45.25%,14.4GB / 72.8GB
60,02/12/19-02:44:00,mongo,55.29%,3.468GiB / 7.696GiB,45.06%,14.4GB / 72.8GB
60,02/12/19-02:44:32,mongo,74.61%,3.464GiB / 7.696GiB,45.01%,14.4GB / 72.8GB
