Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
55,01/12/19-21:41:42,mongo,19.07%,3.496GiB / 7.696GiB,45.43%,7.47GB / 56.7GB
55,01/12/19-21:42:14,mongo,16.98%,3.497GiB / 7.696GiB,45.43%,7.5GB / 56.7GB
55,01/12/19-21:42:46,mongo,16.82%,3.496GiB / 7.696GiB,45.43%,7.53GB / 56.7GB
55,01/12/19-21:43:19,mongo,16.13%,3.496GiB / 7.696GiB,45.43%,7.53GB / 56.7GB
55,01/12/19-21:43:51,mongo,20.16%,3.496GiB / 7.696GiB,45.43%,7.57GB / 56.7GB
56,01/12/19-21:43:59,mongo,15.00%,3.496GiB / 7.696GiB,45.43%,7.61GB / 56.7GB
56,01/12/19-21:44:32,mongo,14.80%,3.498GiB / 7.696GiB,45.45%,7.61GB / 56.8GB
56,01/12/19-21:45:04,mongo,15.97%,3.496GiB / 7.696GiB,45.43%,7.61GB / 56.9GB
56,01/12/19-21:45:36,mongo,24.93%,3.496GiB / 7.696GiB,45.43%,7.62GB / 56.9GB
56,01/12/19-21:46:08,mongo,32.21%,3.495GiB / 7.696GiB,45.41%,7.62GB / 56.9GB
56,01/12/19-21:46:40,mongo,16.36%,3.495GiB / 7.696GiB,45.41%,7.63GB / 56.9GB
56,01/12/19-21:47:12,mongo,17.49%,3.494GiB / 7.696GiB,45.40%,7.66GB / 56.9GB
56,01/12/19-21:47:44,mongo,29.46%,3.489GiB / 7.696GiB,45.34%,7.66GB / 56.9GB
56,01/12/19-21:48:16,mongo,30.70%,3.493GiB / 7.696GiB,45.39%,7.66GB / 56.9GB
57,01/12/19-21:48:31,mongo,15.48%,3.492GiB / 7.696GiB,45.37%,7.74GB / 56.9GB
57,01/12/19-21:49:03,mongo,15.17%,3.499GiB / 7.696GiB,45.46%,7.74GB / 57.1GB
57,01/12/19-21:49:35,mongo,16.06%,3.499GiB / 7.696GiB,45.46%,7.74GB / 57.1GB
57,01/12/19-21:50:07,mongo,16.25%,3.499GiB / 7.696GiB,45.46%,7.77GB / 57.1GB
57,01/12/19-21:50:39,mongo,27.72%,3.499GiB / 7.696GiB,45.47%,7.77GB / 57.1GB
57,01/12/19-21:51:12,mongo,22.90%,3.499GiB / 7.696GiB,45.46%,7.77GB / 57.1GB
57,01/12/19-21:51:44,mongo,28.34%,3.498GiB / 7.696GiB,45.45%,7.77GB / 57.1GB
57,01/12/19-21:52:16,mongo,25.34%,3.498GiB / 7.696GiB,45.45%,7.77GB / 57.1GB
57,01/12/19-21:52:48,mongo,16.59%,3.497GiB / 7.696GiB,45.44%,7.77GB / 57.1GB
58,01/12/19-21:53:06,mongo,15.50%,3.497GiB / 7.696GiB,45.44%,7.85GB / 57.1GB
58,01/12/19-21:53:38,mongo,14.83%,3.5GiB / 7.696GiB,45.47%,7.85GB / 57.2GB
58,01/12/19-21:54:11,mongo,30.73%,3.498GiB / 7.696GiB,45.44%,7.86GB / 57.4GB
58,01/12/19-21:54:44,mongo,16.41%,3.497GiB / 7.696GiB,45.44%,7.86GB / 57.4GB
58,01/12/19-21:55:16,mongo,17.50%,3.496GiB / 7.696GiB,45.43%,7.86GB / 57.4GB
58,01/12/19-21:55:48,mongo,34.23%,3.496GiB / 7.696GiB,45.43%,7.86GB / 57.4GB
58,01/12/19-21:56:20,mongo,32.12%,3.495GiB / 7.696GiB,45.41%,7.86GB / 57.4GB
58,01/12/19-21:56:52,mongo,26.24%,3.495GiB / 7.696GiB,45.41%,7.86GB / 57.4GB
58,01/12/19-21:57:24,mongo,17.11%,3.495GiB / 7.696GiB,45.40%,7.86GB / 57.4GB
59,01/12/19-21:57:45,mongo,14.68%,3.493GiB / 7.696GiB,45.39%,7.98GB / 57.4GB
59,01/12/19-21:58:17,mongo,24.11%,3.498GiB / 7.696GiB,45.46%,7.98GB / 57.5GB
59,01/12/19-21:58:49,mongo,33.04%,3.498GiB / 7.696GiB,45.45%,8.01GB / 57.5GB
59,01/12/19-21:59:22,mongo,19.15%,3.498GiB / 7.696GiB,45.45%,8.01GB / 57.6GB
59,01/12/19-21:59:54,mongo,18.40%,3.497GiB / 7.696GiB,45.43%,8.06GB / 57.6GB
59,01/12/19-22:00:26,mongo,16.67%,3.491GiB / 7.696GiB,45.36%,8.51GB / 57.6GB
59,01/12/19-22:00:59,mongo,17.13%,3.497GiB / 7.696GiB,45.43%,8.51GB / 57.6GB
59,01/12/19-22:01:31,mongo,18.24%,3.495GiB / 7.696GiB,45.41%,8.63GB / 57.6GB
59,01/12/19-22:02:03,mongo,23.87%,3.495GiB / 7.696GiB,45.41%,8.73GB / 57.6GB
60,01/12/19-22:02:34,mongo,15.71%,3.493GiB / 7.696GiB,45.39%,8.9GB / 57.6GB
60,01/12/19-22:03:06,mongo,15.20%,3.495GiB / 7.696GiB,45.41%,8.9GB / 57.8GB
60,01/12/19-22:03:39,mongo,16.31%,3.496GiB / 7.696GiB,45.43%,8.98GB / 57.8GB
60,01/12/19-22:04:11,mongo,21.19%,3.497GiB / 7.696GiB,45.43%,9.35GB / 57.8GB
60,01/12/19-22:04:43,mongo,16.50%,3.497GiB / 7.696GiB,45.43%,9.45GB / 57.8GB
60,01/12/19-22:05:16,mongo,17.61%,3.495GiB / 7.696GiB,45.41%,9.48GB / 57.9GB
60,01/12/19-22:05:48,mongo,18.09%,3.495GiB / 7.696GiB,45.42%,9.52GB / 57.9GB
60,01/12/19-22:06:20,mongo,16.31%,3.494GiB / 7.696GiB,45.40%,9.74GB / 57.9GB
60,01/12/19-22:06:52,mongo,30.91%,3.493GiB / 7.696GiB,45.39%,9.84GB / 57.9GB
60,01/12/19-22:07:24,mongo,19.77%,3.493GiB / 7.696GiB,45.38%,9.85GB / 57.9GB
61,01/12/19-22:07:30,mongo,18.09%,3.492GiB / 7.696GiB,45.37%,9.89GB / 57.9GB
61,01/12/19-22:08:02,mongo,16.33%,3.496GiB / 7.696GiB,45.43%,9.89GB / 58GB
61,01/12/19-22:08:34,mongo,21.40%,3.496GiB / 7.696GiB,45.42%,10GB / 58GB
61,01/12/19-22:09:06,mongo,17.27%,3.495GiB / 7.696GiB,45.41%,10.2GB / 58GB
61,01/12/19-22:09:38,mongo,19.69%,3.494GiB / 7.696GiB,45.40%,10.2GB / 58GB
61,01/12/19-22:10:10,mongo,17.65%,3.495GiB / 7.696GiB,45.41%,10.7GB / 58GB
61,01/12/19-22:10:43,mongo,14.64%,3.495GiB / 7.696GiB,45.41%,11.2GB / 58GB
61,01/12/19-22:11:16,mongo,17.03%,3.493GiB / 7.696GiB,45.39%,11.5GB / 58GB
61,01/12/19-22:11:48,mongo,21.12%,3.492GiB / 7.696GiB,45.38%,11.8GB / 58GB
61,01/12/19-22:12:20,mongo,24.35%,3.492GiB / 7.696GiB,45.37%,12.2GB / 58GB
62,01/12/19-22:12:47,mongo,16.95%,3.49GiB / 7.696GiB,45.35%,12.4GB / 58GB
62,01/12/19-22:13:19,mongo,15.59%,3.493GiB / 7.696GiB,45.38%,12.4GB / 58.2GB
